EC-AEA,EC-AEA_SULF1+,EC-AVR,EC-DVR,EC-Glomerular_cap,EC-LYM,EC-PTC,EC-angiogenic
SRP14,SERPINE2,PLVAP,SPARCL1,EMCN,CCL21,HSPG2,INSR
CLDN5,JAG1,MARCKS,CCL14,IGFBP5,TFF3,CA4,IGFBP7
SRGN,KCTD12,GPM6A,VWF,CRHBP,MMRN1,PLVAP,SPARC
AQP1,MGP,MIR99AHG,IGFBP7,PLAT,TFPI,RGCC,VWF
ARL15,ABI3BP,CD59,ACKR1,SYNE1,FABP4,DNASE1L3,COL4A1
VIM,CRIP1,COL3A1,SPRY1,SOST,CD36,RAMP3,GRB10
ADAMTS6,LTBP4,LINC02147,ANO2,PLPP3,PKHD1L1,CCL14,MAGI1
SERPINE2,PDE3A,CD9,SLC2A3,TGFBR2,SEMA3A,NAV3,RGCC
SOX5,MECOM,TFPI,FAU,EHD3,NRP2,TMEM88,GALNT18
TM4SF1,VIM,ADIRF,CLU,MGP,LAPTM5,CEACAM1,EDNRB
MECOM,SRP14,TMTC2,NNMT,NTN4,TBX1,H19,FLT1
PALMD,FBLN2,IGFBP7,RALGAPA2,PLPP1,DOCK5,KCNIP4,ESM1
ENPP2,SULF1,NR2F2,ADAMTS9,ITGA8,PROX1,RBP5,PLVAP
KCTD12,CAV1,IGFBP4,SNHG29,NRG3,IGFBP7,AC105402.3,IVNS1ABP
SOX17,CLDN5,MYL12A,VIM,HECW2,MPP7,ESM1,FYN
MCTP1,LTC4S,PMP22,NAMPT,CMTM8,ZFPM2,VAV3,HSPG2
THSD4,FBLN5,S100A10,PDLIM1,EPAS1,EFNA5,PAX8,SPARCL1
SLC14A1,ELN,FN1,EMP1,FCN3,LAMA4,PKHD1,COL4A2
S100A4,ARL15,DNASE1L3,NACA,HLA-C,PRKG1,PATJ,PRSS23
A2M,CLU,FAM167B,EEF1G,MEG3,MRC1,BICC1,ELMO1
