ATL,CD-IC-A,CD-IC-B,CD-PC,CNT-IC-A,CNT-PC,DCT1,DCT2,DTL1,DTL1/2,DTL2,DTL3,MD,PapE,PapE1,PapE2,TAL,TAL_medullary,aATL_CCL2+,aCD-IC-B,aCD-PC,aCNT-PC,aDCT,aTAL,dCD-ICB,dCD-PC,dDTL1/2,dPapE
CRIP1,ADGRF5,KRT7,AQP2,ATP6V0D2,TMEM52B,SLC12A3,SLC12A3,CRYAB,FOXP2,CRYAB,NUPR1,PLCB1,ZBTB7C,DHRS2,PDLIM1,SLC12A1,SLC12A1,SPP1,WDR72,FXYD4,TRPM3,DCDC2,UMOD,KRT7,PDE4D,RHEX,PDLIM1
WFDC2,SLC26A7,ATP6V1G3,FXYD4,SLC26A7,WNK1,TMEM52B,ESRRG,NUPR1,CASC15,SERPINA1,CRYAB,ERBB4,LINC00511,KRT19,MIR205HG,UMOD,GPC5,WFDC2,SLC4A9,AQP2,RALYL,SCN2A,SLC12A1,IGFBP5,ABTB2,PKHD1,MIR205HG
ITM2C,ATP6V0D2,IGFBP5,AQP3,MUC20,HSD11B2,WNK1,AL355612.1,TPM1,TPM1,HLA-B,TPM1,PKHD1,PPARG,SPINK1,KRT19,PLCB1,UMOD,SAT1,SLC26A4,AQP3,CADPS2,KCNIP4,MT1G,ATP6V0C,GLIS3,OXR1,KRT17
TMSB10,SLC4A1,SLC4A9,ST6GAL1,TMEM213,CALB1,AL355612.1,TRPM7,JUNB,SATB2,HLA-C,FOXP2,ZBTB20,ELF3,S100P,KRT17,EGF,AC092078.2,IFITM3,RCAN2,TMSB4X,SLC8A1,DACH1,CLDN16,SLC4A9,GRIP1,BICC1,FABP5
CLDN10,APOE,CD9,SCNN1G,C12orf75,SLC8A1,TRPM7,EGF,SOD3,DOCK11,CLU,PAX8,KCNIP4,KRT19,PSCA,FXYD3,KNG1,CACNA2D3,MMP7,LINC01187,ST6GAL1,ARL15,ACSL4,PPP1R1A,ATP6V1G3,ANK3,FOXP2,S100P
S100A11,C12orf75,TMEM213,GATA3,MAGI1,RHCG,EGF,AC019197.1,H3F3B,PHYHIPL,TACSTD2,IGFBP3,FNDC3B,SNX31,SNCG,S100P,ESRRG,PLCB1,IFITM2,SEMA3C,GATA3,SOX5,TRABD2B,ESRRB,WFDC2,PRKCA,ZBTB20,KRT13
SLPI,ATP6V1G3,ATP6V0C,PTGER1,ADGRF5,CA2,CNNM2,KANK1,EGR1,PROM1,HLA-A,ARHGAP29,IMMP2L,AHR,ADIRF,SNCG,GPC5,CLDN10-AS1,BCAM,DGKI,TPM4,TEX41,ITGB6,PLCB1,TMEM213,PWRN1,LINC01320,LAMB3
SOD3,TMEM213,CDA,NDRG1,SLC4A1,CA12,KNG1,ERBB4,STEAP1B,UTRN,RARRES2,UGT2B7,PTPRG,HPGD,FXYD3,ADIRF,SLC16A12,PHACTR1,ITGB6,PACRG,KRT19,HSD11B2,SLC8A1,BICDL1,ATP6V0B,BMPR1B,LINC00472,FXYD3
TIMP1,ATP6AP2,SLC26A4,HSD11B2,RCAN2,SERPINA5,CACNB4,LINC00472,FOS,UNC5D,SOD3,CPE,SAMD4A,ACOXL,LINC00511,EEF1G,PLCL1,RP1,SLPI,PDE1C,BTG2,LINC01099,KITLG,ANK2,CA12,RBPMS,PAX8,EEF1G
CLDN3,RNASEK,LINC01187,TMSB4X,CLNK,COX7B,SERPINA5,APBB2,PPDPF,EVC,CYSTM1,SOD3,BICC1,ACER2,PPARG,FABP5,PDE1A,ENOX1,CXCL14,EPS8,PTGER1,BMPR1B,FAM155A,MAST4,PLAAT4,SOX5,IMMP2L,GPX2
SPP1,RACGAP1,ATP6V0D2,BMPR1B,ATP6V0A4,CLCNKB,ESRRG,CNNM2,ZFP36,GALNT14,CPE,CLU,ADAMTS9-AS2,ATP8B1,AHR,LINC00511,CLCN5,EGF,NNMT,IQGAP2,NDRG1,PRKG1,MFHAS1,SIM2,STEAP1B,MYO1E,UTRN,ACOXL
ANXA2,CLNK,CA12,TRPM3,IL18,EMX1,KANK1,WNK1,S100A13,LINC01320,NUPR1,IGFBP5,AKAP13,DHRS3,KRT7,BTF3,CYFIP2,SLC16A12,STEAP1B,GRB10,PWRN1,FRAS1,DLGAP1,SLC16A12,CDA,CADPS2,KCNMB2,C19orf33
KRT7,ATP6V0B,ATP6V0B,CLU,ATP6V1C2,ATP5MD,AC019197.1,CCSER1,IER2,SLC44A5,MYL6,UTRN,CACNA2D3,CD96,GPX2,ANXA1,CACNA2D3,RBFOX1,ADAMTS1,ATP6V0D2,CLU,PIK3C2G,NLGN1,FOXP2,CD9,ARL15,UGT2B7,AHR
TMPRSS4,DMRT2,IL18,TPM4,RHCG,ATP5ME,APBB2,ARHGAP6,JUN,EPHA7,MAL,CRNDE,MAML2,ETV6,TNFRSF21,RACK1,CASR,CLCN5,KCNIP4,RNF152,RCAN1,PWRN1,MIR4435-2HG,CACNA2D3,RNASEK,NFAT5,RBPMS,KRT5
