PEC,PTS1,PTS1/S2,PTS2,PTS2/S3,PTS3,aPT,aPTS1/S2,aPTS3,cycPT,dPT,dPTS1/S2
IGFBP7,UGT2B7,DHFR,GSTA1,MTRNR2L12,MT1H,MALAT1,MALAT1,NEAT1,DIAPH3,NDUFA4L2,TMSB10
MALAT1,TMBIM6,MTRNR2L12,FABP1,DHFR,MT1F,LMNA,S100A6,MALAT1,EZH2,NNMT,IL32
BCAM,SLC7A8,AC105402.3,SUCLG1,AC105402.3,MT2A,KLF6,NEAT1,SPP1,DLEU2,JUNB,PPDPF
CCN2,SLC22A8,ALB,SLC25A5,DCXR,MT1E,NEAT1,TMSB10,ACTB,BRCA1,ZFP36,TMSB4X
IFITM3,CUBN,MTRNR2L8,PRAP1,PCK1,RBP5,CLU,ZBTB20,B2M,APOLD1,ANGPTL4,MT1F
CFH,ASS1,PRODH2,UGT2B7,MIOX,UQCRQ,HLA-B,PDE4D,ZBTB20,MIR924HG,EGR1,UQCRQ
PDE1A,SLC4A4,FAM151A,ATP5MC3,RBP4,SOD1,ZSWIM6,VIM,PKHD1,ATAD2,VIM,GSTP1
ALDH1A2,SLC16A9,PTH1R,NAT8,ACY1,TXN,FOSB,PKHD1,TMSB10,CENPP,IGFBP3,POLR2L
SYNE1,PAH,ACSM2B,ECHS1,MTRNR2L8,HINT1,ANXA2,TMSB4X,HLA-A,SMC4,HLA-B,PFN1
ZBTB20,MME,CUBN,UBB,AGXT,GPX4,WSB1,HLA-A,PDE4D,NUSAP1,RNASET2,B2M
S100A6,CTSB,SLC4A4,NDUFA4,ALDH6A1,SUCLG1,JUNB,IGFBP7,FOS,IQGAP3,LDHA,S100A1
TPM1,SLC13A3,SLC13A3,PRDX1,BHMT,NDUFA4,TRIO,RHEX,CD74,CENPF,GNG11,ATP5ME
SPARC,FAM151A,PDZD2,KHK,GLYATL1,DCXR,TNFRSF12A,HLA-B,RBPMS,BRIP1,CA9,MT2A
CD9,PTH1R,AC096577.1,MDH1,FP236383.3,ATP5ME,FNDC3B,B2M,PARD3,TOP2A,COL23A1,GABARAP
DUSP1,LRP2,SLC22A6,COX7B,GPT,COX5B,SAMD4A,ITGB8,HLA-B,AC068587.4,S100A10,MT1H
VIM,DPEP1,AFM,UQCRQ,MPC1,UQCR11,ZBTB20,PTH2R,RHOB,PRIM2,SOCS3,CRYAB
CRIM1,SLC22A6,MIOX,DPEP1,PHYH,ATP5MG,PKM,LINC01320,CD24,CENPK,DUSP1,S100A11
BICC1,SLC5A12,AGXT2,CMBL,HAO2,UBB,PARD3,S100A11,STEAP1B,CEP128,HLA-C,SPP1
TMSB4X,PRODH2,FGGY,CXCL14,FMO5,MIOX,HLA-A,KLF6,MAML2,MELK,FOSB,C12orf75
ARHGAP29,SLC6A19,AC098588.3,TXN,CYP17A1,COX4I1,ELL2,PARD3,LINC01320,RRM2,MYOCOS,CD74
