Fibroblasts_INHBA+,Fibroblasts_NEGR1+,Fibroblasts_adventitial,Fibroblasts_cortex,MC,MC_REN+,Medullary_fibroblasts,Myofibroblasts,Norn_cells,Pericytes,Perivascular_fibroblasts,VSMC,VSMC_REN+
DCN,C7,DCN,FBLN1,POSTN,MECOM,ZBTB20,C7,IGFBP6,RGS5,CNN1,ADIRF,TRPM3
LUM,LUM,FBLN1,CFD,GATA3,TRPM3,NEAT1,DCN,FBLN1,CPE,ACTA2,MYH11,GNAS
CCN1,FBLN5,GSN,SRPX,MECOM,PLCL1,LTBP1,LUM,DCN,DLC1,MFAP4,PLN,REN
CCN2,DCN,CCDC80,NBL1,PRKCA,PIP5K1B,ATRNL1,FBLN5,MIR99AHG,NDUFA4L2,PDLIM3,CRIP1,MECOM
C1R,CST3,SERPINF1,MFAP4,LMO7,PDE10A,SOX5,LAMA2,DHRS3,TM4SF1,FLNA,MUSTN1,HPSE2
FBLN5,NEGR1,CFD,LTBP4,SYNE1,ROBO1,PLCB1,TSHZ2,FXYD2,HIGD1B,MYLK,SOD3,PLCL1
GPC3,GGT5,IGFBP6,LUM,AGTR1,LIMCH1,PTPRM,PLXDC2,BNC2,CACNB2,MYH11,TPM2,PIP5K1B
C7,CXCL12,EFEMP1,SERPINF1,MYL12A,GNAS,SYT1,COL1A2,GSN,EPS8,SYNPO2,SPARCL1,LIMCH1
FBLN1,C1S,C1S,COL1A1,APOE,SAMD12,AKAP12,ITGA1,MFAP5,PHLDA1,CKB,ACTA2,NRXN3
MOXD1,GPX3,LUM,COL1A2,ENG,PDE7B,LSAMP,NEGR1,SFRP4,INPP4B,DES,CLU,PCDH9
SERPINE1,PDGFRA,C1R,PTGDS,MYL12B,KCNQ5,HPSE2,SVEP1,GPX3,ADGRF5,CSRP1,RERGL,TSC22D1
C1S,TIMP1,C3,DCN,FABP4,AC114316.1,FBXL7,ATRNL1,IGF1,COL25A1,DMD,TSC22D1,ITGA8
RARRES2,TSHZ2,S100A10,CACNA1D,EMCN,COL25A1,CA8,CYP1B1,S100A10,HS6ST3,SORBS1,SNCG,SLC8A1
SFRP1,PRSS23,ANXA1,MMP2,AQP1,PITPNC1,BMPR1B,MOXD1,BICC1,COX4I2,AEBP1,SORBS2,SDK1
CYP1B1,ADH1B,ANXA2,IGFBP2,S100A11,RAPGEF4,DACH1,COL3A1,CXCL14,FRMD3,NEXN,NTRK3,NTRK3
TCF21,RARRES2,NNMT,PAMR1,TINAGL1,PCDH9,SAMD4A,PDGFRA,MGST1,SLIT3,SVIL,FLNA,SOD3
AKAP12,MOXD1,EMP1,COL6A2,SRGN,PDE1A,HSPH1,MEIS2,CCDC80,MAP1B,FP236383.3,CNN1,PDE10A
CEBPD,COL3A1,SRPX,DHFR,BST2,MEF2C,ZSWIM6,GGT5,APOD,ADGRB3,COL6A2,KCNMA1,ATP5F1E
LITAF,CYP1B1,CLU,MEG3,CYBA,PPARG,FMNL2,COL4A4,OGN,SLC38A11,TPM1,CSRP1,CSMD1
GGT5,SELENOP,SERPING1,APCDD1,PHTF2,PDE3A,PRKCA,GPC3,H19,GJA4,PCDH7,CSRP2,GRID2
