,Gene,Importance,sc_det_rate,sn_det_rate,delta_detection,Enriched_In
0,FTH1,0.016562362,0.881796314,0.090270682,0.791525632,Single-Cell
1,COX7C,0.012941167,0.733949896,0.042111765,0.69183813,Single-Cell
2,B2M,0.011239869,0.78714033,0.1226104,0.66452993,Single-Cell
3,PTMA,0.010607212,0.793307585,0.13926561,0.654041975,Single-Cell
4,GMDS-DT,0.010210532,0.165357849,0.706095454,-0.540737605,Single-Nucleus
5,PTH2R,0.010079573,0.164425049,0.624189533,-0.459764485,Single-Nucleus
6,EEF1A1,0.010018009,0.901896817,0.097348914,0.804547902,Single-Cell
7,PKHD1,0.009724153,0.220280452,0.717576681,-0.497296229,Single-Nucleus
8,LRMDA,0.009339692,0.262337265,0.709105096,-0.446767831,Single-Nucleus
9,SRP14,0.009257795,0.672017824,0.044025303,0.62799252,Single-Cell
10,MAML2,0.009254102,0.307907381,0.752257232,-0.444349851,Single-Nucleus
11,ITM2B,0.008721543,0.782184981,0.239902837,0.542282144,Single-Cell
12,PPIA,0.008712676,0.670649227,0.056240363,0.614408864,Single-Cell
13,TPT1,0.008569914,0.883219998,0.082714065,0.800505932,Single-Cell
14,UBB,0.008307756,0.71183567,0.027421183,0.684414488,Single-Cell
15,NACA,0.00818253,0.721780645,0.054057443,0.667723202,Single-Cell
16,UQCRB,0.008054163,0.637276517,0.03653371,0.600742807,Single-Cell
17,TMSB4X,0.007996141,0.581126093,0.082319282,0.498806811,Single-Cell
18,BICC1,0.007889486,0.238288887,0.735295484,-0.497006597,Single-Nucleus
19,WWOX,0.007594249,0.297737163,0.80191168,-0.504174517,Single-Nucleus
20,FTX,0.007504422,0.307472809,0.876906571,-0.569433762,Single-Nucleus
21,MALAT1,0.007374015,0.70410273,0.998639159,-0.294536428,Single-Nucleus
22,UBA52,0.00715284,0.729651914,0.037170008,0.692481906,Single-Cell
23,MAPK10,0.007039241,0.173946468,0.695612797,-0.521666329,Single-Nucleus
24,PPP2R3A,0.006889838,0.175749637,0.630204173,-0.454454535,Single-Nucleus
25,RACK1,0.006843635,0.723159035,0.074562952,0.648596083,Single-Cell
26,KAZN,0.006709205,0.201459184,0.642284541,-0.440825357,Single-Nucleus
27,MAGI1,0.006648323,0.249091989,0.729694206,-0.480602217,Single-Nucleus
28,TMSB10,0.006561131,0.714533692,0.05957512,0.654958571,Single-Cell
29,NDUFA4,0.0065511,0.665434358,0.046742341,0.618692017,Single-Cell
30,SETBP1,0.006543932,0.200867921,0.698757129,-0.497889209,Single-Nucleus
31,DHFR,0.00618677,0.584152186,0.098579709,0.485572477,Single-Cell
32,ARHGAP6,0.005947535,0.16990066,0.611328887,-0.441428227,Single-Nucleus
33,MAST4,0.005896397,0.206506344,0.574990247,-0.368483902,Single-Nucleus
34,SERF2,0.005864104,0.805546612,0.072774816,0.732771797,Single-Cell
35,DIP2C,0.005746248,0.147009102,0.639948353,-0.492939252,Single-Nucleus
36,PARD3,0.005678515,0.231052951,0.743966782,-0.512913832,Single-Nucleus
37,COX5B,0.005651119,0.627976668,0.051753767,0.576222901,Single-Cell
38,GLIS3,0.005597122,0.199510341,0.674624259,-0.475113918,Single-Nucleus
39,NR2F2-AS1,0.005437497,0.150521181,0.595244951,-0.444723771,Single-Nucleus
40,HLA-A,0.005282369,0.608067132,0.099768703,0.508298429,Single-Cell
41,MAGI2,0.005141373,0.151666983,0.55484701,-0.403180027,Single-Nucleus
42,PATJ,0.005089172,0.237163895,0.704037936,-0.466874041,Single-Nucleus
43,SAMD12,0.00500049,0.139397352,0.578756944,-0.439359591,Single-Nucleus
44,KIAA1217,0.004874015,0.230974605,0.70910974,-0.478135135,Single-Nucleus
45,MIF,0.004760973,0.72915491,0.037629814,0.691525096,Single-Cell
46,ELOB,0.004717255,0.588260425,0.030593383,0.557667043,Single-Cell
47,CFL1,0.004713676,0.604851297,0.038256823,0.566594474,Single-Cell
48,S100A6,0.004650906,0.585283298,0.104334256,0.480949042,Single-Cell
49,GPHN,0.004569392,0.256749031,0.756688093,-0.499939062,Single-Nucleus
50,COX8A,0.004548726,0.584374981,0.028577665,0.555797315,Single-Cell
51,NR6A1,0.004536837,0.087852172,0.466675646,-0.378823474,Single-Nucleus
52,FTL,0.004520896,0.872923693,0.105616141,0.767307552,Single-Cell
53,MBD5,0.004461506,0.242224521,0.727214038,-0.484989517,Single-Nucleus
54,HLA-B,0.004421267,0.570264232,0.086634031,0.483630201,Single-Cell
55,PARD3B,0.004370075,0.18979673,0.712997195,-0.523200464,Single-Nucleus
56,EIF1,0.004340784,0.781284008,0.096271388,0.68501262,Single-Cell
57,ESRRG,0.00431399,0.229778613,0.637816523,-0.40803791,Single-Nucleus
58,ATP5F1E,0.004086905,0.764242651,0.038447248,0.725795403,Single-Cell
59,NEAT1,0.004041651,0.508608818,0.917313802,-0.408704984,Single-Nucleus
60,RBPMS,0.003994155,0.312111104,0.725820685,-0.413709581,Single-Nucleus
61,COX4I1,0.003991883,0.677806817,0.055929181,0.621877637,Single-Cell
62,SMYD3,0.003629864,0.232831637,0.694368068,-0.461536431,Single-Nucleus
63,SHROOM3,0.003606351,0.118529309,0.527179668,-0.408650359,Single-Nucleus
64,XIST,0.003569681,0.134564418,0.42764319,-0.293078773,Single-Nucleus
65,LINC01515,0.00355482,0.048299965,0.385749717,-0.337449752,Single-Nucleus
66,APBB2,0.003552698,0.19309336,0.641736489,-0.44864313,Single-Nucleus
67,GAPDH,0.003405058,0.776252762,0.051475096,0.724777666,Single-Cell
68,FAU,0.003380254,0.628254549,0.043147491,0.585107058,Single-Cell
69,NME2,0.003312655,0.543843456,0.0358231,0.508020356,Single-Cell
70,BCAS3,0.003273464,0.237214085,0.691553495,-0.45433941,Single-Nucleus
71,UBE2E2,0.00326968,0.216055919,0.603670091,-0.387614172,Single-Nucleus
72,CHCHD2,0.003199917,0.59725791,0.041554424,0.555703485,Single-Cell
73,FGD4,0.003169634,0.219405187,0.656245936,-0.436840749,Single-Nucleus
74,PKP4,0.003146916,0.272269998,0.660007989,-0.387737991,Single-Nucleus
75,LARGE1,0.003104117,0.1274105,0.521889572,-0.394479073,Single-Nucleus
76,PRKN,0.003101792,0.197052253,0.696643878,-0.499591625,Single-Nucleus
