,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC008569.1,95.56481643,0.084371863,1.423877587,2.091980795,0.036440234,0.135467798
AC156455.1,16.61871626,-0.003300493,1.711574227,0.816042626,0.414475756,0.690174581
OAZ3,14.06991445,0.527999799,1.924894567,1.657024484,0.097514525,0.288123315
NDUFA13,5602.345756,5.800517977,0.977932443,20.19943504,9.90236E-91,1.70586E-88
CCDC18,137.9647932,-0.299076022,2.014028535,-2.248626996,0.024536237,0.099011753
AC079336.4,22.64705558,-0.649626051,0.788289598,0,1,1
AC083837.1,262.6009866,-1.535480959,3.428434398,-1.274567901,0.202462225,0.462274619
ITPR1,935.3533311,-1.080310743,0.968023353,-4.303547449,1.68085E-05,0.000143243
TNIK,556.2876348,-1.070102071,1.319775188,-5.984437434,2.17139E-09,2.96705E-08
AL117190.2,16.25288574,-0.165761458,9.662757015,-0.452269523,0.651074829,0.865078114
RAPGEF1,778.9000599,-0.270843809,0.570672777,-1.480269329,0.138801385,0.366427092
ATAD3C,74.91619659,1.289697447,2.335286409,0.152569275,0.878737957,1
CEP72,19.76733589,0.074938707,1.908734405,0.360522412,0.7184565,0.910469526
NUPR1,827.161285,6.195288656,16.15432744,1.200782888,0.229835431,0.498252226
SPEG,17.23300431,0.080165626,2.16301815,0.283392288,0.77687614,0.947699901
FBLN7,19.90731823,-0.175146033,1.430555527,1.073334737,0.283120955,0.562104929
ZNF600,111.4024754,-0.286585901,1.507706332,0.623529874,0.532936377,0.783925619
CPED1,125.4006072,-0.043590979,22.54953983,-0.015197701,0.987874456,1
AC079807.1,19.3207015,0.121568301,1.164965596,1.769440606,0.076820374,0.241954988
AL158206.1,109.6578056,0.177181897,1.791507138,0.779262246,0.43582525,0.707106451
ARL14EPL,50.29489901,0.52525228,2.130911317,-0.451321035,0.651758187,0.865496816
BPHL,875.2839435,0.774732531,2.13088981,4.608928015,4.0475E-06,3.83182E-05
AC090644.1,31.32564938,0.001825062,11.11571146,-0.074321816,0.940754318,1
BICDL1,898.5755313,-1.185454577,6.090902412,-2.446178745,0.01443794,0.063454583
GASK1A,37.50984596,-0.189806251,11.03870789,-0.286066557,0.774827145,0.946771054
