GENE	eGFR
A1BG	0.56652
A2M	1.8988
NAT1	-0.95398
NAT2	1.6182
SERPINA3	1.5043
AADAC	0.20005
AAMP	5.0523
AANAT	0.29613
AARS1	0.98403
ABAT	-0.16138
ABCA1	2.9828
ABCA2	1.2586
ABCA3	2.219
ABCF1	4.0715
ABCA4	4.7895
ABL1	-1.3654
AOC1	4.0916
ABL2	-0.40223
ABO	6.9467
ABR	0.087968
ACAA1	2.4464
ACACA	-0.21569
ACACB	1.4715
ACADL	4.9887
ACADM	-0.48213
ACADS	3.1918
ACADSB	0.039234
ACADVL	2.38
ACAT1	0.80241
ACAT2	3.0681
ASIC2	-0.34738
ASIC1	3.4228
ACHE	3.4502
ACLY	1.264
ACO1	3.7918
ACR	-0.14844
ACO2	4.5193
ACOX1	3.8617
ACP1	7.4207
ACP2	6.1094
ACP5	-0.46181
ACP3	4.441
ACRV1	1.5677
ACTA1	-0.80663
ACTA2	0.24147
ACTB	0.054284
ACTC1	2.2373
ACTG1	2.8276
ACTG2	4.4975
ACTN4	6.8163
ACTL6A	-0.45389
ACTN1	3.6857
ACTN2	0.83504
ACTN3	5.495
ACVR1	4.2169
ACVR1B	4.821
ACVR2A	6.1094
ACVR2B	7.0603
ACVRL1	6.4426
ACY1	2.9594
ACYP1	4.775
ACYP2	6.275
ADA	-0.30236
ADAM8	0.59814
ADAM10	2.6442
ADAR	2.3397
ADARB1	2.0438
ADARB2	4.3541
ADCY1	1.0506
ADCY2	0.58464
ADCY3	2.1029
ADCY5	4.0661
ADCY6	2.4796
ADCY7	0.54171
ADCY8	-0.027869
ADCY9	2.1551
ADCYAP1	-1.5982
ADCYAP1R1	1.1353
ADD1	2.5628
ADD2	0.8519
ADD3	2.1042
PLIN2	0.1095
ADH1A	1.312
ADH1B	2.5003
ADH1C	2.7641
ADH4	0.29181
ADH5	1.3874
ADH6	2.1007
ADH7	1.9773
ADK	8.1563
ADM	5.1892
ADORA1	3.4911
ADORA2A	4.2749
ADORA2B	1.2474
ADORA3	3.3603
ADPRH	-0.23404
PARP1	-0.56472
PARP4	-0.37641
ADRA1D	1.3253
ADRA1B	0.32697
ADRA1A	-0.62623
ADRA2A	1.076
ADRA2B	5.1407
ADRA2C	1.5542
ADRB1	1.6278
ADRB2	2.559
ADRB3	-1.7539
GRK2	3.5889
GRK3	0.69451
ADSL	6.1094
ADSS2	-0.048725
AP2A1	3.7681
AP2A2	6.0563
AP1B1	2.1991
AP2B1	-0.5683
AP1G1	7.6638
AEBP1	0.021507
TLE5	1.4116
CRISP1	0.51361
AFM	1.0874
AFP	1.8117
AGA	-0.1522
ACAN	-0.38457
AGER	6.1094
AGL	3.3926
AGRP	2.1683
JAG1	5.562
AGT	0.81281
AGTR1	0.56672
APLNR	1.5341
AGXT	2.6992
AHCY	3.6894
AHR	7.0992
AHSG	1.8382
AIF1	7.6008
CRYBG1	-0.81349
AK1	4.936
AK2	0.41042
AK4	1.6257
AKT1	4.5343
AKT2	6.3368
ALAD	2.147
ALAS1	1.8301
ALB	0.83658
ALCAM	1.5243
ALDH1A1	1.547
ALDH2	6.0716
ALDH3A1	1.8733
ALDH1B1	-1.3079
ALDH1A3	-0.40157
ALDH3B1	1.9543
ALDH3B2	1.1251
ALDH9A1	-1.6194
ALDH3A2	4.1829
ABCD2	2.7455
ALDOA	3.4004
ALDOB	1.6123
ALDOC	3.3899
AKR1B1	1.3002
ALK	1.4082
ALOX12	1.4708
ALOX5	5.2488
ALOX5AP	-2.0393
ALOX12B	1.5686
ALOX15	2.1845
ALOX15B	-0.60546
ALPI	-0.13249
ALPL	2.1199
ALPP	1.1478
ALPG	0.16648
ALX3	0.78149
AMBN	-0.9336
AMBP	5.3989
AMD1	3.1775
AMFR	2.1283
AMH	4.4198
AMHR2	5.2052
AMPD1	6.0687
AMPD2	4.1376
AMPD3	4.1699
AMPH	0.2828
BIN1	3.2113
AMT	7.8622
AMY1A	0.80851
AMY1B	-0.8623
AMY1C	-1.4126
AMY2A	-0.52157
AMY2B	-1.0005
ANG	-1.4763
ANGPT1	0.12932
ANGPT2	4.9512
ANK1	0.45201
ANK2	1.4516
ANK3	2.7841
ANPEP	0.97108
SLC25A4	-0.54852
ANXA1	2.0724
ANXA2	1.4137
ANXA3	4.2048
ANXA4	1.6108
ANXA5	0.5451
ANXA6	-0.37753
ANXA7	6.359
ANXA11	6.2249
ANXA13	1.7136
AOAH	-0.48184
AOC2	0.71141
AOX1	0.16421
APAF1	0.2321
NUDT2	3.5238
APOF	3.3521
APBA1	0.51562
APBA2	-0.39959
APBB1	1.8857
APBB2	1.4699
APC	0.60881
APCS	1.3716
AIRE	-0.40824
APEH	6.1094
APEX1	1.3857
BIRC2	0.71413
BIRC3	1.0112
BIRC5	-0.019192
APLP1	2.2901
APLP2	1.146
APOA1	3.9363
APOA2	1.681
APOA4	2.6318
APOB	1.8667
APOBEC1	-0.19988
APOC1	7.8659
AQP8	0.64571
APOC2	-0.27651
APOC3	3.5019
APOC4	0.11114
APOD	1.9267
APOE	7.2734
APOH	0.75533
APP	0.024775
APRT	1.7909
KLK3	0.27124
FAS	1.1639
FASLG	2.0827
AQP1	1.6025
AQP2	0.27256
AQP3	3.6479
AQP4	6.1094
AQP5	-0.31783
AQP6	-0.35985
AQP7	2.2243
AQP9	0.66163
ABCC6	1.671
ARCN1	1.8508
TRIM23	3.3691
AREG	1.4191
ARF1	5.3008
ARF3	3.6263
ARF4	4.7736
ARL4D	4.1767
ARF5	5.5978
ARF6	0.48346
ARG1	6.1094
ARG2	6.6452
RHOA	6.9988
RHOB	1.1373
RHOC	6.1094
RND3	1.249
RHOG	-0.4647
ARHGAP1	4.5096
ARHGAP5	0.28715
ARHGDIA	2.0984
ARHGDIB	4.7141
ARHGDIG	4.5502
RHOH	-0.46543
ARL1	0.4369
PHOX2A	0.91584
ARL2	2.018
ARL3	5.0215
ARNT	6.9287
BMAL1	2.298
ARRB1	1.3715
ARRB2	3.3809
ARSA	1.9377
ARSB	2.853
ART1	-1.8606
ART3	6.3965
ART4	5.8974
ARVCF	3.8424
ASAH1	1.4666
ASCL1	-1.2586
ASCL2	3.2518
ASGR1	0.30108
ASGR2	-0.046362
ASIP	2.2898
ASL	4.8929
GET3	3.7048
ASNS	0.56209
ASPA	0.38822
ASPH	2.8158
ASS1	1.6777
ASTN1	2.3561
SERPINC1	0.17324
ZFHX3	7.6511
ATF1	5.0478
ATF3	1.5245
ATF4	0.56439
ATIC	1.0852
ATM	1.6648
RERE	6.1604
ATOH1	-0.055043
ATOX1	0.037229
ATP1A1	0.61869
ATP1A2	1.3254
ATP1A3	2.299
ATP12A	6.9933
ATP1A4	0.34259
ATP1B1	4.4129
ATP1B2	5.5515
ATP1B3	6.9811
FXYD2	4.1199
ATP2A1	4.7152
ATP2A2	1.4603
ATP2A3	1.5083
ATP2B1	4.4817
ATP2B2	3.6783
ATP2B4	-0.44895
ATP4A	1.3781
ATP4B	-0.95206
ATP5F1A	0.32426
ALDH7A1	0.034936
ATP5F1B	4.94
ATP5F1C	0.40381
ATP5F1D	6.3589
ATP5F1E	1.7054
ATP5PB	-0.0078625
ATP5MC1	5.6594
ATP5MC2	5.5556
ATP5MC3	-0.067653
ATP5ME	-0.088968
ATP5PF	1.0603
ATP6V1A	0.014243
ATP6V1B1	4.9117
ATP6V1B2	0.090446
ATP6V0C	2.3835
ATP6V1C1	-0.79095
ATP6V1E1	1.8023
ATP6V0B	2.2382
ATP6V1G2	7.049
ATP6V0A1	3.3045
ATP5PO	6.4123
ATP7B	-1.4032
ATR	5.9355
KIF1A	1.3902
AUH	-1.3455
AUP1	3.8099
AVP	1.99
AVPR1A	1.7289
AVPR1B	0.15615
AXL	-0.41152
AZGP1	2.1926
AZU1	3.8501
B2M	1.9829
BAAT	1.4994
BACH1	5.622
BAD	2.0721
BAG1	0.57074
ADGRB1	0.33009
ADGRB2	0.85143
ADGRB3	1.9619
BAK1	4.7227
NKX3-2	1.8738
BARD1	0.1648
BAX	1.3147
BBS1	5.3774
BBS2	1.7632
BBS4	1.1073
BCAT1	0.32279
BCAT2	2.7646
BCHE	-0.4992
BCKDHA	-0.89133
BCKDHB	0.37517
CCND1	3.207
BCL2	3.2052
BCL2A1	1.6025
BCL2L1	3.1712
BCL2L2	-0.43117
BCL3	2.6143
BCL6	4.0507
BCL7A	3.3599
BCL9	0.55755999999999994
TNFRSF17	1.427
HCN2	0.79585
OPN1SW	2.267
BCR	1.878
BCS1L	4.9954
BDH1	0.72884
BDKRB1	0.40759
BDKRB2	3.4846
BDNF	-0.33329
CFB	6.57
BFSP1	-0.40282
BGLAP	7.6255
CEACAM1	1.0079
BHMT	5.9308
BICD1	1.1664
BID	1.2062
BIK	2.6926
PRDM1	-0.75482
BLK	8.4862
BLM	0.29073
BLMH	3.5074
CXCR5	2.4072
BLVRA	4.2755
BLVRB	3.7443
BNC1	2.4266
BMI1	-1.0515
BMP1	0.8576
BMP2	-0.46515
BMP3	1.0692
BMP4	7.7092
BMP5	6.5362
BMP6	6.1382
BMP7	4.0914
BMP8B	0.68487
BMPR1A	-0.20266
BMPR1B	4.8821
BMPR2	3.8453
POLR3D	-0.53595
BNIP1	2.561
BNIP2	1.0059
BNIP3	3.212
BNIP3L	-0.14429
BOK	2.158
DST	1.1301
FOXL2	-0.017034
BPGM	2.8823
BPHL	-0.06409
BPI	0.40703
BRCA1	5.2591
BRAF	4.1122
BRCA2	-1.0801
BRDT	1.332
ZFP36L1	6.1943
ZFP36L2	6.1094
BSG	1.6915
BST1	1.9507
BST2	-0.27944
BTC	-0.14811
BTD	2.3998
KLF9	0.20518
KLF5	6.8064
BTF3	1.8981
BTG1	1.6336
BTN1A1	6.9206
BUB1	1.696
BUB1B	3.5912
BYSL	0.79735
TSPO	0.62368
C1QBP	0.15238
SERPING1	4.6171
C1QA	0.94308
C1QB	1.0642
C1QC	1.0731
C1S	3.5094
C2	7.4426
C3	1.4997
C3AR1	-0.10611
C4A	6.4101
C4B	5.2969
C4BPA	1.9423
C4BPB	3.0914
CAPN5	0.41743
C5	2.8106
C5AR1	-1.9468
C6	0.1472
C7	0.55246
C8A	2.4294
C8B	2.0772
C8G	1.8722
OSGIN2	3.0395
C9	8.119
VPS51	2.5988
MRPL49	3.0358
ZNHIT2	3.0042
MPPED2	5.9406
MYRF	1.6717
TMEM258	2.5003
DAGLA	0.41336
FMNL1	2.8608
LDLRAD4	4.7017
PTTG1IP	2.3531
CFAP410	-2.0083
TMEM50B	2.5532
MPPED1	0.091403
CA1	5.4401
CA2	6.213
CA3	6.3498
CA4	2.5244
CA5A	0.5279
CA6	1.2955
CA7	2.6961
CA8	1.42
CA9	1.433
CA11	2.9269
CA12	7.3005
CACNA1A	1.8739
CACNA1B	1.1237
CACNA1C	4.624
CACNA1D	1.6528
CACNA1E	1.0231
CACNA1S	5.3878
DDR1	6.4758
CACNA2D1	1.0688
CACNB1	7.021
CACNB2	3.2169
CACNB3	5.9727
CACNB4	1.8836
CACNG1	0.86035
SLC25A20	4.8912
CAD	6.1094
CALB1	2.6659
CALB2	3.5566
CALCA	0.87771
CALCB	0.49903
CALCR	3.0516
CALD1	3.2878
CALM1	2.5389
CALM2	0.40905
CALM3	0.85808
CALML3	0.53254
CALR	7.7115
CALU	1.9596
CAMK4	0.53709
CAMK2A	3.9323
CAMK2B	2.1153
CAMK2D	-0.16608
CAMK2G	6.1812
CAMLG	0.74161
CAMP	4.6371
CANX	1.087
CAPG	3.6264
CAPN1	2.6447
CAPN2	3.8943
CAPN3	1.7027
CAPNS1	2.0346
CAPS	-1.2926
CAPZA1	3.7263
CAPZA2	-1.4248
CAST	1.0301
CAPZB	2.8242
CARS1	4.165
CASP1	0.63023
CASP2	1.2068
CASP3	-0.20309
CASP4	-1.1161
CASP5	0.28132
CASP6	1.585
CASP7	2.3204
CASP8	1.6486
CASP9	7.2874
CASP10	2.0402
CASQ1	2.7361
CASQ2	2.7198
CASR	6.3016
CAT	0.47241
CAV1	0.31867
CAV2	-0.46693
CAV3	0.95625
RUNX2	6.7947
RUNX1	1.1832
RUNX1T1	3.4572
CBFA2T3	6.2624
RUNX3	3.667
CBFB	2.021
SERPINA6	2.3722
CBL	5.6731
CBLB	6.5786
CBLN1	0.12536
SERPINH1	2.9935
CBR1	5.342
CBR3	2.5333
CBS	4.1357
CCIN	2.1206
KYAT1	2.7983
CCK	-1.3665
CCKAR	2.0744
CCKBR	0.47957
KRIT1	3.1713
CCNA2	1.6084
CCNB1	6.7964
CCNC	3.7615
CCND2	3.9656
CCND3	4.3373
CCNE1	3.7943
CCNF	1.9381
CCNG1	0.42124
CCNG2	1.0446
CCNH	0.9785
CCNT1	2.7263
CCNT2	4.6487
CCT6A	7.3804
CD1A	0.20316
CD1B	-1.3151
CD1C	-1.0014
CD1D	-0.26443
CD1E	0.56743
CD2	-0.32224
CD3D	2.9663
CD3E	0.99128
CD3G	2.7913
CD247	0.27455
CD4	0.66203
CD5	0.13973
CD5L	3.6622
CD6	-0.0024816
CD7	-0.93496
CD8A	0.90506
CD8B	1.4328
CD9	-1.0733
CD14	1.2892
CD19	3.8581
MS4A1	-0.7922
MS4A3	0.63117
CD22	0.63405
CD27	-0.39894
CD28	0.93883
CD80	2.8207
CD86	5.7351
TNFRSF8	-1.2673
TNFSF8	-0.69249
CD33	-0.20743
SIGLEC6	0.65329
CD34	4.3817
CD36	0.6089
SCARB1	1.7298
SCARB2	6.4193
CD37	0.4919
CD38	-2.0035
ENTPD1	1.2322
ENTPD2	1.0685
ENTPD6	4.5852
ENTPD3	2.186
ENTPD5	1.3977
CD40	2.2657
CD44	1.3716
CD47	1.2042
CD48	0.63311
CD53	0.10572
CD58	0.50651
CD59	0.60806
CD63	1.7974
CD68	5.851
CD69	1.158
CD70	0.079549
CD72	0.76722
CD74	0.36339
CD79A	-0.33892
CD79B	0.37393
CD81	-0.29301
ADGRE5	1.1948
CD151	1.34
CDA	1.0401
CDK1	0.23051
CDK11B	1.5259
LRBA	1.6277
CDC5L	0.17223
SEPTIN7	-0.44531
CDC6	5.9978
CDC20	1.5
CDC25A	4.476
CDC25B	0.83941
CDC25C	4.7509
CDC27	3.0097
CDC34	-0.25861
CDC42	0.11408
CDH1	4.2615
CDH2	0.66484
CDH3	4.6073
CDH4	0.58399
CDH5	0.13182
CDH6	-0.081293
CDH7	-0.64512
CDH8	2.7127
CDH9	-0.18245
CDH10	-1.3428
CDH11	2.4036
CDH12	-1.9152
CDH13	0.86634
CDH15	6.2222
CDH16	1.8043
CDH17	0.64055
CDH18	-1.5816
CDK2	1.7704
CDK3	0.9879
CDK4	1.5886
CDK5	5.2584
CDK6	1.4013
CDK7	7.132
CDK8	1.7915
CDK9	0.8647
CDKN1A	4.4713
CDKN1B	2.6371000000000002
CDKN1C	3.5406
CDKN2A	2.6066
CDKN2B	3.532
CDKN2C	4.4485
CDKN2D	0.11869
CDKN3	1.1158
CDO1	2.3011
CDR2	1.1815
CDS1	2.3294
CDSN	5.9259
CD52	3.0022
CDX1	1.5778
CDX2	2.0215
CLGN	-0.69924
CEACAM5	0.44677
CEBPA	2.1457
CEBPB	-0.090153
CEBPD	-1.1058
CEBPE	2.2111
CEBPG	1.6976
CEL	1.2834
CENPA	1.1233
CENPB	1.8265
CENPC	0.99074
CENPE	7.0345
CENPF	4.2121
CES1	0.64103
CETN1	0.11627
CETN2	-0.90777
CETN3	1.0188
CETP	1.0498
CFL1	5.987
CFL2	5.2523
CTSC	0.15042
CFTR	0.82931
CGA	2.2828
CGB3	1.3024
CEACAM3	-1.3937
CEACAM7	-0.77028
CEACAM8	1.463
CEACAM4	0.47999000000000003
CHAD	4.6018
RCBTB2	3.637
CHAT	6.6931
RCC1	0.81205
CHD1	0.89434
CHD2	5.578
CHD3	5.7843
CHD4	3.2758
AKR1C4	1.2706
CHEK1	1.1057
FOXN3	2.4868
CHGA	6.1094
CHGB	1.1568
CHI3L1	0.40645
CHI3L2	-1.355
CHIT1	-0.76188
CHKA	0.13488
CHKB	2.1535
CHML	-0.79742
CHN1	0.04067
CHN2	-0.090672
CHRM1	4.2399
CHRM2	2.5263
LYST	0.21389
CHRM3	-0.81987
CHRM4	4.0206
CHRM5	0.55578
CHRNA1	1.3217
CHRNA2	1.1777
CHRNA3	1.2235
CHRNA4	2.4513
CHRNA5	0.96363
CHRNA7	-1.3623
CHRNB1	2.8659
CHRNB2	1.6609
CHRNB3	-0.18462
CHRNB4	3.6217
CHRND	-1.0875
CHRNE	3.6811
CHRNG	-1.5928
CHUK	1.6257
CIDEA	0.26154
CKB	4.2817
CIRBP	2.3766
CISH	2.3295
TBCB	2.0927
CKM	1.8778
CKMT1B	3.1322
CKMT2	-1.1146
ERCC8	2.9794
CKS1B	2.6289
CKS2	0.30221
AP2M1	3.0173
AP1S1	2.7082
AP2S1	0.34876
AP3S1	1.6536
CLC	1.324
CLCA1	0.54588
CLCN1	1.8522
CLCN2	3.2108
CLCN3	0.43268
CLCN6	0.60988
CLCN7	1.6362
CLCNKA	6.0191
CLCNKB	4.6279
CLU	1.17
CLIC1	6.1094
CLK1	1.4317
CLK2	3.2613
CLK3	5.2502
TPP1	0.80129
CLN3	3.8469
CLN5	0.008934
CLNS1A	4.0492
CLPS	0.50203
CLPTM1	-0.66859
CLTA	2.5449
CLTB	2.12
CLTC	4.3069
CMA1	-0.8086
CCR1	2.6064
CCR3	2.3602
CCR4	-0.76158
CCR5	4.4331
CCR6	0.091947
CCR7	0.37842
CCR8	1.6624
ACKR2	0.0019258
CMKLR1	2.0049
LTB4R	2.7922
ABCC2	5.9947
CNGB1	-0.79584
CNGA1	-0.85851
CNGA3	1.3058
CNGA4	-0.11683
PLK3	-0.57081
CNN1	-0.58875
CNN2	1.6636
CNN3	0.51552
CNP	1.1966
CNR1	0.27648
CNR2	2.4804
CNTF	2.1246
CNTFR	3.1779
CNTN1	-0.39539
COL1A1	1.3158
COL1A2	2.1215
COL2A1	3.3747
COL3A1	2.1325
COL4A1	4.0442
COL4A2	8.0047
COL4A3	0.027772
COL4A4	0.10898
COL5A1	2.6037
COL5A2	2.3824
COL6A1	-0.012056
COL6A2	2.0552
COL6A3	0.82096
COL7A1	3.8585
COL8A1	6.3023
COL8A2	0.96936
COL9A1	0.32961
COL9A2	1.3254
COL9A3	0.79658
COL10A1	4.4624
COL11A1	0.13423
COL11A2	2.3203
COL12A1	-0.31531
COL13A1	0.19514
COL15A1	1.6275
COL16A1	3.6978
COL17A1	0.63175
COL19A1	1.0061
COMP	6.1094
COMT	3.2004
COPA	2.7046
COPB1	2.3152
KLF6	2.45
SLC31A1	0.43233
SLC31A2	1.2075
CORT	2.2617
MAP3K8	1.7184
COX4I1	1.5621
COX5B	-0.60296
COX6A1	3.7022
COX6A2	0.12438
COX6B1	3.1183
COX6C	0.5143
COX7A1	2.1735
COX7A2	-1.6644
COX7C	-1.0562
COX8A	2.7677
COX10	-0.88561
COX11	0.84737
COX15	3.3301
CP	0.39292
CPA1	0.37045
CPA2	0.90085
CPA3	-0.18011
CPB1	0.97946
CPB2	2.0554
CPD	1.7389
CPE	1.3313
CLDN4	2.1394
CLDN3	2.8415
CLDN7	1.3428
CPM	-1.971
CPN1	4.9901
CPN2	-0.0029693
CPOX	0.24597
CPS1	8.7884
CPT1A	2.183
CPT1B	2.3596
CPT2	-0.56072
CR1	4.0897
CR1L	5.8236
CR2	2.9447
CRABP1	2.5908
CRABP2	1.4459
CRAT	1.2645
CREB1	6.9212
ATF2	1.002
CREBBP	3.1565
ATF6B	7.4146
CREBL2	1.7428
CREM	1.061
CRH	0.74203
CRHBP	1.5817
CRHR1	0.47999000000000003
CRHR2	1.3686
CRIP1	0.19047
CRIP2	0.12548
CRK	0.87335
CRKL	1.6542
CRMP1	0.90829
CRP	-2.2929
HAPLN1	-0.40921
CRX	0.62058
CRY1	2.0262
CRY2	1.0913
CRYAA	-0.49027
CRYAB	4.4689
CRYBA1	2.6079
CRYBA2	0.43266
CRYBA4	1.6021
CRYBB1	1.5171
CRYBB2	0.34095
CRYBB3	1.4294
CRYGA	1.0397
CRYGB	0.037504
CRYGC	-0.09397
CRYGD	-0.031764
CRYGS	2.9129
CRYM	4.657
CRYZ	1.324
CS	4.3426
MAPK14	1.6621
CSE1L	0.65276
CSF1	2.8507
CSF1R	-0.44519
CSF2	4.0536
CSF2RB	-0.42017
CSF3	6.2623
CSF3R	0.15104
CSH1	-0.88779
CSH2	-1.0852
CSHL1	-0.26204
CSK	7.7259
CSN1S1	-0.29437
CSN2	-0.44667
CSN3	0.92453
CSNK1A1	0.75978
CSNK1D	2.386
CSNK1E	0.16852
CSNK1G2	-0.67505
CSNK1G3	4.4568
CSNK2A1	-0.89431
CSNK2A2	2.4608
CSNK2B	6.1094
VCAN	2.1899
NCAN	2.3465
CSPG4	6.1094
CSRP1	1.3137
CSRP2	2.9616
SLC25A10	6.1094
CST1	-0.62295
CST2	-0.91274
CST3	1.6524
CST4	0.8029
CST5	1.0195
CST6	7.3012
CSTA	4.8007
CSTB	-0.28389
CSTF1	1.522
CSTF3	3.0444
NKX2-5	2.8679
CTBS	0.052713
CTBP1	6.0876
CTBP2	5.799
CTF1	1.7877
CCN2	0.6358
CTH	0.37145
CTLA4	-0.2612
CTNNA1	1.9618
CTNNA2	-0.78799
CTNS	0.78683
CTNNB1	0.32557
CTNND1	6.3783
CTNND2	0.93713
CTPS1	2.1454
CTRB1	1.7242
CTRL	1.1423
CTSB	6.6719
CTSD	4.381
CTSE	-0.81158
CTSG	0.6407
CTSH	4.7892
CTSK	6.6544
CTSL	-0.75955
CTSV	0.083842
CTSO	0.34996
CTSS	5.4791
CTSW	5.9925
CTSZ	2.747
CUX1	9.1718
CX3CR1	1.6206
CXADR	1.921
CYB5A	5.6281
CYB561	0.74333
CYBA	4.1668
CYC1	2.2374
CYLC2	-0.59922
CYLD	-0.53917
CYP1A1	6.8786
CYP1A2	6.6145
CYP1B1	-0.32736
CYP2A6	6.6846
CYP2A7	2.8868
CYP3A7	3.5287
CYP2A13	0.20208
CYP2B6	2.7905
CYP2C19	1.5155
CYP2C8	1.6603
CYP2C9	2.4722
CYP2C18	1.1653
CYP2D6	7.6954
CYP2E1	1.6761
CYP2F1	1.1473
CYP2J2	-0.57094
CYP3A4	2.245
CYP3A5	2.4501
CYP4A11	0.15593
CYP4B1	-0.14405
CYP7A1	2.2744
CYP8B1	-1.1742
CYP11A1	5.1527
CYP11B1	1.5216
CYP11B2	2.3736
CYP17A1	4.5317
CYP19A1	3.5676
CYP21A2	7.0121
CYP24A1	7.5386
CYP26A1	6.1094
CYP27A1	4.6349
CYP27B1	1.1071
CYP51A1	2.8195
DAB1	0.93095
DAB2	8.1823
DACH1	5.1387
DAD1	-0.8712
CD55	1.843
DAG1	6.9247
DGKA	1.3221
DGKB	2.8431
DGKG	1.8538
DGKQ	4.7826
DAO	0.13158
DAP	-1.1987
DAPK1	2.8025
DAPK3	6.8708
DARS1	0.69604
DAXX	3.6944
DAZL	1.0957
BRINP1	-0.46201
DBH	0.23778
DBI	1.2746
DBN1	6.0564
DBP	2.2022
DBT	2.0795
DCC	0.76372
ECI1	0.61240000000000006
DCK	-0.57928
DCN	0.63916
DCTD	0.23962
ACE	2.9483
DCT	1.7016
DCTN1	3.6946
DDB1	1.8847
DDB2	6.1094
DDC	2.9145
AKR1C1	1.2058
AKR1C2	1.4195
GADD45A	1.6352
DDIT3	3.1371000000000002
DDOST	0.60614
DDT	1.0426
DDX1	6.3498
DDX5	1.1381
DDX6	4.074
DMXL1	3.9504
DHX8	2.6488
DHX9	2.9639
DDX10	1.6227
DDX11	1.3007
DHX15	0.67925
DECR1	2.4117
DEFA1	-0.33412
DEFA3	0.034795
DEFA4	1.5104
DEFA5	-0.37529
DEFA6	1.6487
DEFB1	0.57423
DES	4.2395
CFD	0.11081
DFFA	3.3651
DFFB	3.8807
GSDME	-0.23347
COCH	5.8052
DGUOK	1.9751
DHCR7	1.7072
DHCR24	-0.3545
DHFR	5.8168
DHODH	2.2001
DHPS	2.5026
CYB5R3	6.2607
NQO1	6.8356
DIAPH1	3.3821
SEPTIN1	4.4194
DIO1	1.153
DIO2	6.3643
DIO3	0.53692
DLAT	4.0632
DLD	0.34949
DLG1	7.3176
DLG2	2.4329
DLG4	1.9666
DLST	1.045
DLX1	-0.19156
DLX2	-0.50169
DLX3	0.51628
DLX4	0.14284
