group,n_cell,n_ctrl,assoc_mcp,assoc_mcz,hetero_mcp,hetero_mcz,n_fdr_0.05,n_fdr_0.1,n_fdr_0.2
ATL,14170.0,1000.0,0.01998002,2.2947226,0.001998002,4.2923255,0.0,0.0,0.0
Bcells_activated,3958.0,1000.0,0.025974026,2.2976255,0.14585415,1.0039585,0.0,0.0,0.0
Bcells_memory,17.0,1000.0,0.44655344,0.008242498,0.4135864,0.35907832,0.0,0.0,0.0
Bcells_naive,2749.0,1000.0,0.026973028,2.1008224,0.94305694,-1.4219505,0.0,0.0,0.0
CD-IC-A,10435.0,1000.0,0.1958042,0.85685265,0.008991009,3.2786958,0.0,0.0,0.0
CD-IC-B,2839.0,1000.0,0.44455543,0.07296706,0.001998002,4.025844,0.0,0.0,0.0
CD-PC,18328.0,1000.0,0.04895105,1.8534069,0.005994006,3.8741364,0.0,0.0,0.0
CD4_activated_helper,2299.0,1000.0,0.33966035,0.398974,0.123876125,1.1759628,0.0,0.0,0.0
CD4_central_memory,2456.0,1000.0,0.998002,-2.5104718,0.8701299,-1.1347827,0.0,0.0,0.0
CD4_memory_resident,16869.0,1000.0,0.999001,-2.5898867,0.33266732,0.3120998,0.0,0.0,0.0
CD8_activated_cytotoxic,270.0,1000.0,0.95804197,-1.7024324,0.67132866,-0.44854492,0.0,0.0,0.0
CD8_activated_exhausted,264.0,1000.0,0.8851149,-1.216909,0.07292707,1.4529682,0.0,0.0,0.0
CD8_activated_resident,1427.0,1000.0,0.16383617,1.0174484,0.15684316,0.988461,0.0,0.0,0.0
CD8_cycling,313.0,1000.0,0.58441556,-0.24173452,0.6883117,-0.5145207,0.0,0.0,0.0
CD8_effector_cytoxic,16388.0,1000.0,0.998002,-2.487176,0.22077923,0.6564794,0.0,0.0,0.0
CD8_memory_resident,10639.0,1000.0,0.997003,-2.3078172,0.011988012,2.7101686,0.0,0.0,0.0
CNT-IC-A,5026.0,1000.0,0.08391608,1.4949989,0.000999001,4.566398,0.0,0.0,0.0
CNT-PC,37047.0,1000.0,0.07292707,1.539627,0.016983017,2.607247,0.0,0.0,0.0
Ciliated,47.0,1000.0,0.7942058,-0.8380731,0.5604396,-0.12747441,0.0,0.0,0.0
DC1,49.0,1000.0,0.8961039,-1.2623634,0.06393606,1.4480301,0.0,0.0,0.0
DC2,4532.0,1000.0,0.6833167,-0.47465378,0.20879121,0.6961451,0.0,0.0,0.0
DCT1,5156.0,1000.0,0.11188811,1.224076,0.00999001,2.9686267,0.0,0.0,0.0
DCT2,619.0,1000.0,0.00999001,2.400897,0.6093906,-0.23359714,0.0,0.0,0.0
DTL1,5983.0,1000.0,0.996004,-2.3261983,0.15384616,0.9447555,0.0,0.0,0.0
DTL2,606.0,1000.0,0.9460539,-1.5566372,0.21578422,0.7666596,0.0,0.0,0.0
DTL3,1604.0,1000.0,0.8591409,-1.0601711,0.006993007,3.0998943,0.0,0.0,0.0
EC-AEA,9276.0,1000.0,0.35864136,0.33594877,0.55344653,-0.27460614,0.0,0.0,0.0
EC-AEA_SULF1+,2774.0,1000.0,0.66933066,-0.47714996,0.24575424,0.6116854,0.0,0.0,0.0
EC-AVR,16641.0,1000.0,0.74825174,-0.70995206,0.12687312,1.1160975,0.0,0.0,0.0
EC-DVR,8754.0,1000.0,0.18181819,0.91373336,0.043956045,1.8541304,0.0,0.0,0.0
EC-Glomerular_cap,12051.0,1000.0,0.41558442,0.15791461,0.30669332,0.34512576,0.0,0.0,0.0
EC-LYM,683.0,1000.0,0.9190809,-1.308005,0.023976024,2.1175168,0.0,0.0,0.0
EC-PTC,20212.0,1000.0,0.47352648,0.045017757,0.056943055,1.7670238,0.0,0.0,0.0
EC-angiogenic,1650.0,1000.0,0.54545456,-0.14952643,0.08191808,1.4724891,0.0,0.0,0.0
EC-cap,10554.0,1000.0,0.6323676,-0.36063853,0.2947053,0.45127812,0.0,0.0,0.0
EC-venus,7393.0,1000.0,0.81918085,-0.85802066,0.2857143,0.4554421,0.0,0.0,0.0
Fibroblasts_INHBA+,1380.0,1000.0,0.3116883,0.44960716,0.4145854,0.14876378,0.0,0.0,0.0
Fibroblasts_NEGR1+,6244.0,1000.0,0.34465533,0.41390944,0.4055944,0.058746524,0.0,0.0,0.0
Fibroblasts_adventitial,1089.0,1000.0,0.37762237,0.25384223,0.26873127,0.48468354,0.0,0.0,0.0
ILC3,242.0,1000.0,0.6523476,-0.41300493,0.5694306,-0.19718373,0.0,0.0,0.0
MC,1757.0,1000.0,0.49050948,-0.03197652,0.043956045,1.9112746,0.0,0.0,0.0
MD,1506.0,1000.0,0.000999001,4.395533,0.002997003,3.1813653,0.0,0.0,0.0
Mast cells,491.0,1000.0,0.6923077,-0.5231708,0.58841157,-0.22437766,0.0,0.0,0.0
Mast cells_activated,745.0,1000.0,0.5284715,-0.19206442,0.8061938,-0.85935307,0.0,0.0,0.0
Mono-Mφ,2955.0,1000.0,0.3136863,0.4141543,0.65834165,-0.5174631,0.0,0.0,0.0
Mono_classical_CD14+,4457.0,1000.0,0.8431568,-0.9955991,0.11888112,1.1420289,0.0,0.0,0.0
Mono_classical_activated,2706.0,1000.0,0.6963037,-0.54391366,0.011988012,2.6732132,0.0,0.0,0.0
Mono_classical_migratory,406.0,1000.0,0.7802198,-0.7906065,0.004995005,2.3897636,0.0,0.0,0.0
Mono_non-classical_CD16+,8564.0,1000.0,0.7982018,-0.85294807,0.22877122,0.6097344,0.0,0.0,0.0
Mono_non-classical_activated,428.0,1000.0,0.25074926,0.68888897,0.53946054,-0.07635651,0.0,0.0,0.0
Myofibroblasts,136.0,1000.0,0.017982017,2.1297705,0.58841157,-0.17981185,0.0,0.0,0.0
Mφ_Resident,603.0,1000.0,0.34365633,0.35319203,0.35564435,0.41989172,0.0,0.0,0.0
