Embedding,Isolated labels,Leiden NMI,Leiden ARI,KMeans NMI,KMeans ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
Harmony,0.43827647,0.6538207636916074,0.3949578074216338,0.5565842242409601,0.214454513352248,0.458674393594265,0.9947206266855789,0.826781,0.02021686101363877,0.4487634671565438,0.6476966363172397,0.6003433777320404,0.5087602634168845,0.5302126855276832,0.5216317166833637
Scanorama,0.5224948,0.6763053953385059,0.3223574522102256,0.6102936791699848,0.24305319851852306,0.4748262260109186,0.9994623499401545,0.88220495,0.008128000518022958,0.44001596247234503,0.5372457905198128,0.07034462153552468,0.38758786498030207,0.5498275848752207,0.48493169691725324
X_pca,0.5106294,0.6829021575123106,0.32031609201892675,0.6429479692366499,0.28593717732496843,0.4703936353325844,0.9994715997728251,0.8565291,0.0060395749948792534,0.3860039931520647,0.7779134886426612,0.0,0.4052972346840319,0.5589425781014786,0.49748444073449993
X_scANVI,0.5511681,0.7680628599932962,0.5008191984730129,0.7046319928102968,0.35302169737540207,0.5182849653065205,0.999396138272043,0.8315043,0.012003963276491328,0.44141381915341604,0.8848630419807376,0.3121639917965981,0.49638982030855683,0.6279121337678805,0.575303208384151
X_scVI,0.5473882,0.760070870028496,0.4846308403786909,0.6900087065722461,0.32043556372211307,0.5136083848774433,0.99957696260032,0.8419482,0.009464191178144035,0.41347275326258054,0.8788342893553314,0.2558077970764181,0.4799054484131117,0.6165313605958322,0.5618809957227441
X_tsne,0.32464883,0.6374999586913241,0.24019264022510126,0.5996587760613048,0.2444654120859872,0.31932033598423004,0.9985827955148988,0.53198105,0.009002059192980751,0.2955931377070318,0.43540527321525563,0,0.2543963042166877,0.480624106553889,0.3901329856190085
X_umap,0.35912424,0.5813304525690314,0.22111565067873365,0.5610377799178384,0.2106607265722684,0.31111349165439606,0.9934531066377285,0.5679104,0.016287639989691266,0.30297337412283276,0.40401202180527285,0,0.2582366818257408,0.4625479216127752,0.3808234256979614
scgen_umap,0.507956,0.8221696174598618,0.4472875353293739,0.7991158426664068,0.4094747432814314,0.6221379265189171,0.9999766107332908,0.5456633,0.05025647050243313,0.6586203868532634,0.8573052272179118,0.3899136489157079,0.5003518061331353,0.6583026148534145,0.5951222913653028
scgen_pca,0.5034251,0.9134018990917981,0.8316118069978683,0.8039231476242525,0.5003009766418387,0.6172188371419907,0.9999999979795036,0.6958063,0.030201669466697563,0.647268026390209,0.9103845194882016,0.5299534294523892,0.5627227938558923,0.738554540969232,0.6682218421238961
scPoli,0.6087605,0.8030393372391608,0.6368879533322246,0.768038419886412,0.47907968601799233,0.5638735741376877,0.9993366649595358,0.61277384,0.028511035240302653,0.6190065636863488,0.8403910148731079,0.5468089229345163,0.5294982744786606,0.694145158812197,0.6282864050787824
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
