Embedding,Isolated labels,Leiden NMI,Leiden ARI,KMeans NMI,KMeans ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
Harmony,0.4394041,0.637505759970874,0.3840325275875822,0.5195668964254504,0.19475909158729038,0.46032945066690445,0.9936883772833872,0.8236864,0.021258177076067242,0.4467689667566611,0.6807271211209578,0.8505072963206218,0.5645895964383638,0.5184694576715945,0.5369175131783022
Harmony_umap,0.34415498,0.5641677396430632,0.2127086597402517,0.5664972290801161,0.21614340623983713,0.41820839047431946,0.9840837373571881,0.46628407,0.048305874779110865,0.335353746347882,0.4567720051405469,0.5473628645795324,0.3708157114571494,0.4722805923276718,0.4316946399794628
Scanorama,0.51384485,0.6457543449080398,0.3106283638107043,0.5489780823062753,0.2190125587762208,0.45204906165599823,0.9988226486464679,0.8656555,0.008517926079886301,0.451791001186568,0.406601736609003,0,0.3465132291381591,0.5270128439689777,0.45481299803665026
Scanorama_umap,0.5380361,0.6029116087467122,0.2307623896045081,0.5812401711028121,0.22869817955498953,0.2707127183675766,0.9960229942354105,0.64144814,0.012734840029761905,0.3368493026055012,0.3994250539141984,0,0.2780914673387619,0.4926263099469967,0.40681237290370276
X_bbknn,0.5412052,0.6015905967573679,0.24279196609118867,0.6004480982226199,0.2371203244509296,0.4439796544611454,0.9875089596893828,0.47141394,0.03354433604649135,0.3243712346345685,0.5170053924204178,0.012222789818936649,0.27171153862233666,0.5220921181496664,0.42193988633873447
X_pca,0.5165749,0.6647672315641419,0.34216453782219397,0.6129399832984507,0.2679867947440673,0.4882769361138344,0.9991340778641782,0.8604012,0.004063839004153297,0.3514959296051088,0.7762738666315455,0.0,0.39844696968198107,0.555977782947236,0.492965457641134
X_pca_umap,0.57236755,0.634602872879578,0.24689049997011894,0.6316048791243761,0.2606033090857681,0.41654222458601,0.9964180073495639,0.5812141,0.009614749181838262,0.2992348853629399,0.5033430917045455,0,0.27868135931389065,0.5370041917054259,0.4336750587488118
X_scVI,0.5337907,0.7565067771732689,0.5395194938066112,0.6693999035013404,0.3228698557929074,0.5174914598464966,0.9989553972826166,0.85688883,0.009073435692560104,0.376372007111974,0.8417980056370872,0.31641844488429893,0.4801101447975388,0.6197905135702053,0.5639183660611387
X_scVI_umap,0.6029211,0.6931719902429503,0.3156647201188417,0.6900630479649854,0.30991736098993555,0.5027328422293067,0.9959939778861353,0.50699306,0.02448374657403855,0.3277020668006349,0.6588178796292545,0.17788072121332946,0.33917549391217705,0.5872092953864522,0.48799577479674217
X_tsne,0.33623758,0.635364935079048,0.24180939213180294,0.5953325443301746,0.23841488659444618,0.35732240974903107,0.9977439985436908,0.5333226,0.00764073303767613,0.27552700327375357,0.4454946395646587,0,0.25239698971684366,0.48603224943033074,0.39257814554493586
X_umap,0.5291965,0.5752246088892629,0.2115602528581505,0.560147236254554,0.20925752637560702,0.3293459862470627,0.9913320662611622,0.60028267,0.013925516037713914,0.2714427451951918,0.40806439971726566,0,0.2587430660035108,0.4865805968091425,0.3954455844868898
scPoli,0.6168945,0.8083506312787214,0.6988142458711292,0.7669837377198562,0.5213064148530078,0.5519859492778778,0.9988396046525341,0.5737121,0.03460271472022647,0.6525516936628414,0.7909721039784777,0.38658248792045946,0.48768422216028284,0.7090250096027729,0.6204886946257768
scPoli_umap,0.6701863,0.7192021583987959,0.3581482230685305,0.7048802674535912,0.32723510227972574,0.5187093894928694,0.996661434739323,0.44473475,0.05103603998819987,0.5684582255948317,0.6764633744983296,0.3640651129723,0.4209515010463707,0.6135746938052942,0.5365254167017248
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
