Embedding,Isolated labels,Leiden NMI,Leiden ARI,KMeans NMI,KMeans ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
Harmony,0.540726,0.82882937260711,0.8377326299904835,0.6908273958407785,0.38477729844632164,0.595244899392128,0.9999999948169874,0.8997956,0.22233684857686362,0.6100074595940128,0.7438646274951074,0.6083137657975501,0.6168636586589482,0.6968767995892636,0.6648715432171375
Scanorama,0.5602702,0.8682042890730312,0.8662083257478447,0.7281148924331592,0.4583225005945037,0.6013253852725029,0.9999999948169874,0.90308905,0.16376890738805136,0.43279168025267645,0.6242134232929579,0.2956970601271818,0.4839120235078278,0.7260636540252831,0.629203001818301
X_bbknn,0.48560444,0.6906366428084437,0.31102646932705674,0.7145172369982387,0.3954367960843906,0.6385822296142578,0.9999999896339749,0.65791434,0.32133130232493085,0.46689940048664186,0.8464776162367587,0.3199850422314584,0.5225215403551706,0.605114828524546,0.5720775132567959
X_pca,0.581348,0.8396411679478996,0.748275208282853,0.714936338835373,0.4089967250459227,0.6261211633682251,0.9999999948169874,0.8952098,0.10153192281723022,0.4204268225946948,0.8252305782552293,0.0,0.44847982258865543,0.7027598000363142,0.6010478090572506
X_scVI,0.631876,0.8714534785569162,0.8663037025443309,0.7359740674748492,0.4192255796181516,0.6200899258255959,0.9999999948169874,0.9002635,0.15425493319829306,0.5028118389754326,0.9053213953292887,0.1281153521215759,0.5181534015834569,0.7349889629511601,0.6482547384040789
X_tsne,0.55088055,0.6442271497024684,0.18999478161937258,0.7038998537010495,0.3944463881971866,0.6200001388788223,0.9999999948169874,0.6234593,0.12523428599039713,0.27097600337590666,0.7666460712445667,0.3697885117394002,0.4312208303774943,0.5862069797505833,0.5242125200013477
X_umap,0.44613057,0.6662547019882106,0.2992843026517967,0.6744841600462333,0.3762196146752249,0.585058756172657,0.9999999896339749,0.6324504,0.2231400410334269,0.3758356145173347,0.8357669962390374,0.26502394017105135,0.466443398748768,0.5782045855596627,0.5335001108353048
scgen_pca,0.69128025,0.9392910007934575,0.9238911341011053,0.7765153141558171,0.489114137053409,0.7118496894836426,1.0,0.80008703,0.2479137380917867,0.6769979157035999,0.9032522433013831,0.4226620876417693,0.610182603888168,0.7902773601954823,0.7182394576725566
scgen_umap,0.41325498,0.7554954059213551,0.3388319206860139,0.7650251469438505,0.3971519517306951,0.6788743436336517,0.9999999948169874,0.69436234,0.40963470935821533,0.7349781354883566,0.8977884173436702,0.4517934667445952,0.6377114142584945,0.6212333914293052,0.6278246005609809
scPoli,0.67293954,0.8944036665250912,0.8708165996632249,0.8205177968212644,0.5938846033511554,0.8169039487838745,1.0,0.7950637,0.25638290246327716,0.7510976331029875,0.897871212609262,0.48991382274092266,0.6380658490732739,0.8099237363000427,0.7411805814093351
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
